model_label,q,n_display,rel,leader_share,counts,chosen_role,n
gemma4_31B_dense,3,799,0.15,0.4330413016270338,"[346, 227, 226]",0,149
gemma4_31B_dense,3,799,0.15,0.4330413016270338,"[346, 227, 226]",1,1
gemma4_31B_dense,3,799,0.2,0.4668335419274093,"[373, 213, 213]",0,150
gemma4_31B_dense,3,799,0.25,0.5006257822277848,"[400, 200, 199]",0,150
gemma4_31B_dense,3,799,0.4,0.5994993742177722,"[479, 160, 160]",0,150
gemma4_31B_dense,3,799,0.6,0.7321652065081352,"[585, 107, 107]",0,150
gemma4_31B_dense,3,799,0.8,0.8648310387984981,"[691, 54, 54]",0,150
gemma4_31B_dense,3,799,1.0,0.9974968710888611,"[797, 1, 1]",0,150
gemma4_31B_dense,5,24,0.0,0.20833333333333334,"[5, 5, 5, 5, 4]",2,32
gemma4_31B_dense,5,24,0.0,0.20833333333333334,"[5, 5, 5, 5, 4]",0,32
gemma4_31B_dense,5,24,0.0,0.20833333333333334,"[5, 5, 5, 5, 4]",1,35
gemma4_31B_dense,5,24,0.0,0.20833333333333334,"[5, 5, 5, 5, 4]",4,14
gemma4_31B_dense,5,24,0.0,0.20833333333333334,"[5, 5, 5, 5, 4]",3,37
gemma4_31B_dense,5,24,0.06,0.25,"[6, 5, 5, 4, 4]",1,18
gemma4_31B_dense,5,24,0.06,0.25,"[6, 5, 5, 4, 4]",2,20
gemma4_31B_dense,5,24,0.06,0.25,"[6, 5, 5, 4, 4]",0,107
gemma4_31B_dense,5,24,0.06,0.25,"[6, 5, 5, 4, 4]",3,3
gemma4_31B_dense,5,24,0.06,0.25,"[6, 5, 5, 4, 4]",4,2
gemma4_31B_dense,5,24,0.15,0.2916666666666667,"[7, 5, 4, 4, 4]",0,147
gemma4_31B_dense,5,24,0.15,0.2916666666666667,"[7, 5, 4, 4, 4]",1,2
gemma4_31B_dense,5,24,0.15,0.2916666666666667,"[7, 5, 4, 4, 4]",3,1
gemma4_31B_dense,5,24,0.2,0.3333333333333333,"[8, 4, 4, 4, 4]",0,150
gemma4_31B_dense,5,24,0.25,0.375,"[9, 4, 4, 4, 3]",0,150
gemma4_31B_dense,5,24,0.4,0.4583333333333333,"[11, 4, 3, 3, 3]",0,150
gemma4_31B_dense,5,24,0.6,0.5833333333333334,"[14, 3, 3, 2, 2]",0,150
gemma4_31B_dense,5,24,0.8,0.7083333333333334,"[17, 2, 2, 2, 1]",0,150
gemma4_31B_dense,5,24,1.0,0.8333333333333334,"[20, 1, 1, 1, 1]",0,150
gemma4_31B_dense,5,49,0.0,0.20408163265306123,"[10, 10, 10, 10, 9]",1,46
gemma4_31B_dense,5,49,0.0,0.20408163265306123,"[10, 10, 10, 10, 9]",4,10
gemma4_31B_dense,5,49,0.0,0.20408163265306123,"[10, 10, 10, 10, 9]",2,28
gemma4_31B_dense,5,49,0.0,0.20408163265306123,"[10, 10, 10, 10, 9]",3,29
gemma4_31B_dense,5,49,0.0,0.20408163265306123,"[10, 10, 10, 10, 9]",0,37
gemma4_31B_dense,5,49,0.1,0.2857142857142857,"[14, 9, 9, 9, 8]",0,148
gemma4_31B_dense,5,49,0.1,0.2857142857142857,"[14, 9, 9, 9, 8]",4,2
gemma4_31B_dense,5,49,0.25,0.3877551020408163,"[19, 8, 8, 7, 7]",0,150
gemma4_31B_dense,5,49,0.4,0.4897959183673469,"[24, 7, 6, 6, 6]",0,150
gemma4_31B_dense,5,49,0.6,0.6326530612244898,"[31, 5, 5, 4, 4]",0,150
gemma4_31B_dense,5,49,0.8,0.7755102040816326,"[38, 3, 3, 3, 2]",0,150
gemma4_31B_dense,5,49,1.0,0.9183673469387755,"[45, 1, 1, 1, 1]",0,150
gemma4_31B_dense,5,49,0.03,0.22448979591836735,"[11, 10, 10, 9, 9]",1,37
gemma4_31B_dense,5,49,0.03,0.22448979591836735,"[11, 10, 10, 9, 9]",0,70
gemma4_31B_dense,5,49,0.03,0.22448979591836735,"[11, 10, 10, 9, 9]",2,22
gemma4_31B_dense,5,49,0.03,0.22448979591836735,"[11, 10, 10, 9, 9]",3,13
gemma4_31B_dense,5,49,0.03,0.22448979591836735,"[11, 10, 10, 9, 9]",4,8
gemma4_31B_dense,5,49,0.06,0.24489795918367346,"[12, 10, 9, 9, 9]",0,115
gemma4_31B_dense,5,49,0.06,0.24489795918367346,"[12, 10, 9, 9, 9]",1,13
gemma4_31B_dense,5,49,0.06,0.24489795918367346,"[12, 10, 9, 9, 9]",2,4
gemma4_31B_dense,5,49,0.06,0.24489795918367346,"[12, 10, 9, 9, 9]",4,5
gemma4_31B_dense,5,49,0.06,0.24489795918367346,"[12, 10, 9, 9, 9]",3,13
gemma4_31B_dense,5,49,0.15,0.30612244897959184,"[15, 9, 9, 8, 8]",0,149
gemma4_31B_dense,5,49,0.15,0.30612244897959184,"[15, 9, 9, 8, 8]",1,1
gemma4_31B_dense,5,49,0.2,0.3469387755102041,"[17, 8, 8, 8, 8]",0,150
gemma4_31B_dense,5,99,0.0,0.20202020202020202,"[20, 20, 20, 20, 19]",3,23
gemma4_31B_dense,5,99,0.0,0.20202020202020202,"[20, 20, 20, 20, 19]",0,25
gemma4_31B_dense,5,99,0.0,0.20202020202020202,"[20, 20, 20, 20, 19]",1,34
gemma4_31B_dense,5,99,0.0,0.20202020202020202,"[20, 20, 20, 20, 19]",4,30
gemma4_31B_dense,5,99,0.0,0.20202020202020202,"[20, 20, 20, 20, 19]",2,38
gemma4_31B_dense,5,99,0.03,0.2222222222222222,"[22, 20, 19, 19, 19]",0,60
gemma4_31B_dense,5,99,0.03,0.2222222222222222,"[22, 20, 19, 19, 19]",3,20
