model_label,q,n_display,n_valid,design_points,beta_m1,beta_ci_lo,beta_ci_hi,p_leader_smallest_lead,n_informative_points,beta_is_lower_bound,beta_c,beta_over_beta_c,rmse
qwen25_32b_it,2,24,1050,7,3.0865103007369337,2.712160677480872,3.5025909527516017,0.6533333333333333,5,False,1.0,3.0865103007369337,0.0127918275725115
qwen25_32b_it,2,49,1050,7,3.3738794048486214,2.904594833411269,3.958918142311196,0.5866666666666667,4,False,1.0,3.3738794048486214,0.0346807031304827
qwen25_32b_it,2,99,1050,7,3.071211216644873,2.7032547538752025,3.530525324446456,0.6866666666666666,4,False,1.0,3.071211216644873,0.0150480523465335
qwen25_32b_it,2,199,1050,7,3.0653349898230466,2.755188276225037,3.4877011408776086,0.6333333333333333,4,False,1.0,3.0653349898230466,0.0129761093158553
qwen25_32b_it,2,399,1050,7,2.458750371502584,2.183463966725467,2.830708462358762,0.6533333333333333,5,False,1.0,2.458750371502584,0.0375942489859704
qwen25_32b_it,2,799,1050,7,2.6974907156914796,2.349033910017876,3.2148693265129165,0.6733333333333333,5,False,1.0,2.6974907156914796,0.031485237165596
qwen25_32b_it,3,24,1350,9,5.041033347666365,4.542364156311252,5.69496795106485,0.54,7,False,1.3862943611198906,3.6363369058170774,0.0403453195590509
qwen25_32b_it,3,49,1650,11,6.273822403617955,5.781328342229198,7.0032752345441045,0.4866666666666667,7,False,1.3862943611198906,4.52560623455885,0.0278860184856955
qwen25_32b_it,3,99,1650,11,5.077996391496963,4.659109148794434,5.6966175162727595,0.41333333333333333,8,False,1.3862943611198906,3.6630001058323596,0.0365331561793768
qwen25_32b_it,3,199,1650,11,4.539664293433411,4.02397172190628,5.192576401636281,0.4533333333333333,9,False,1.3862943611198906,3.274675581718541,0.0472012271462399
qwen25_32b_it,3,399,1650,11,4.460117045329087,4.006928886332116,4.934964857407165,0.4533333333333333,8,False,1.3862943611198906,3.2172943715403046,0.0382350218216381
qwen25_32b_it,3,799,1650,11,4.2639632944365475,3.8169073180332282,4.810700423155562,0.4066666666666667,9,False,1.3862943611198906,3.0757993497080873,0.0286229500842705
qwen25_32b_it,5,24,1350,9,5.577383348007665,5.001851008642815,6.227566921874913,0.36666666666666664,8,False,1.8483924814931874,3.017423736490253,0.0467597154494291
qwen25_32b_it,5,49,1650,11,8.008440935025433,7.298877804507687,8.822392999605704,0.24,9,False,1.8483924814931874,4.332651758330012,0.0451384992504075
qwen25_32b_it,5,99,1650,11,7.100996974206714,6.487330417345406,7.760831828849628,0.32666666666666666,9,False,1.8483924814931874,3.8417149200208356,0.041804883799592
qwen25_32b_it,5,199,1650,11,6.368867123649463,5.839079772336615,6.880319601430017,0.2733333333333333,8,False,1.8483924814931874,3.445624880763689,0.0213627193250353
qwen25_32b_it,5,399,1650,11,6.146946668946154,5.644342258359635,6.787361321392127,0.2733333333333333,8,False,1.8483924814931874,3.3255635534615813,0.0268369102172854
qwen25_32b_it,5,799,1650,11,5.822267778001682,5.3168244654434975,6.358328516252516,0.24666666666666667,8,False,1.8483924814931874,3.1499088187689868,0.0370989212934089
qwen25_32b_it,10,24,1200,8,6.978523424868487,6.50882895930386,7.5274343187821,0.16,7,False,2.471877649503247,2.8231670067775823,0.0591790051902777
qwen25_32b_it,10,49,1650,11,10.177272658289741,9.29863743067321,11.123529370293383,0.12666666666666668,8,False,2.471877649503247,4.117223463845383,0.0429596248877809
qwen25_32b_it,10,99,1643,11,9.275366882918664,8.569113971290161,10.035457613774586,0.1564625850340136,8,False,2.471877649503247,3.7523567903058064,0.0387718421882399
qwen25_32b_it,10,199,1646,11,9.02790781041516,8.410331665214201,9.803278451686646,0.14,7,False,2.471877649503247,3.6522470326269687,0.051834816325568
qwen25_32b_it,10,399,1650,11,9.403766852950126,8.711836733240462,10.15728290245339,0.13333333333333333,7,False,2.471877649503247,3.804301096714849,0.0515707007069937
qwen25_32b_it,10,799,1648,11,9.204018827539064,8.55496052757231,9.979128345053791,0.16,8,False,2.471877649503247,3.723492879750226,0.0559211516642763
qwen25_32b_it,25,49,1500,10,12.895700925178216,12.06710414185517,13.690797187483106,0.12666666666666668,9,False,3.3162300838413348,3.8886629091310096,0.0657257473768152
qwen25_32b_it,25,99,1650,11,12.021235334698519,11.208488159532127,13.035967098852273,0.12,9,False,3.3162300838413348,3.6249702314906314,0.0863766540258589
qwen25_32b_it,25,199,1650,11,13.212331264318182,12.364478101590475,14.386616763185346,0.09333333333333334,7,False,3.3162300838413348,3.9841419112312493,0.1096744235418246
qwen25_32b_it,25,399,1650,11,13.240457967887204,12.232826474013223,14.448157943988692,0.15333333333333332,7,False,3.3162300838413348,3.992623440816929,0.0988730597207835
qwen25_32b_it,25,799,1650,11,12.979753449570527,12.268373490480014,14.115262519176733,0.14666666666666667,8,False,3.3162300838413348,3.9140087151418363,0.1093406536570833
qwen25_32b_it,50,99,1650,11,18.349524623676608,16.983457188880106,20.136190106287387,0.03333333333333333,10,False,3.9728998876545973,4.618672793818939,0.1094664455186465
qwen25_32b_it,50,199,1649,11,15.639790305820526,14.134110542885916,17.452272506059533,0.07333333333333333,10,False,3.9728998876545973,3.9366182758391832,0.1789003513114087
qwen25_32b_it,50,399,1649,11,16.08399527993112,14.692227577512634,17.51637081578186,0.12,9,False,3.9728998876545973,4.048427026794856,0.1513493508075991
